reporting_quarter,time_period,cumulative_gmv,cumulative_mrr,gmv,mrr,subscription_solutions_revenue,subscription_solutions_cost,merchant_solutions_revenue,merchant_solutions_cost,cumulative_subscription_solutions_revenue,cumulative_subscription_solutions_cost,cumulative_merchant_solutions_revenue,cumulative_merchant_solutions_cost
2018-Q1,2017-Q1,,,,20.7,,,,,,,,
2018-Q1,2018-Q1,,,8.0,32.5,,,,,,,,
2018-Q2,2017-Q2,,,,23.7,,,,,,,,
2018-Q2,2018-Q2,,,9.1,35.3,,,,,,,,
2018-Q3,2017-Q3,,,,26.8,,,,,,,,
2018-Q3,2018-Q3,,,10.0,37.9,,,,,,,,
2018-Q4,2017-FY,26.3,,,,,,,,310.0,72.8,363.3,225.1
2018-Q4,2017-Q4,,,,29.9,93.9,19.9,128.9,81.8,,,,
2018-Q4,2018-FY,41.1,,,,,,,,465.0,101.0,608.2,376.0
2018-Q4,2018-Q4,41.1,,14.0,40.9,133.6,26.7,210.3,131.4,,,,
2019-Q1,2018-Q1,,,,32.5,,,,,,,,
2019-Q1,2019-Q1,,,11.9,44.2,,,,,,,,
2019-Q2,2018-Q2,,,,35.3,,,,,,,,
2019-Q2,2019-Q2,,,13.8,47.1,,,,,,,,
2019-Q3,2018-Q3,,,,37.9,,,,,,,,
2019-Q3,2019-Q3,,,14.8,50.7,,,,,,,,
2019-Q4,2018-FY,41.9,,,,,,,,465.0,101.0,608.2,376.0
2019-Q4,2018-Q4,,,,40.9,133.6,26.7,210.3,131.4,,,,
2019-Q4,2019-FY,61.1,,,,,,,,642.2,128.2,935.9,584.4
2019-Q4,2019-Q4,61.1,,20.6,53.9,183.2,37.4,322.0,203.9,,,,
2020-Q1,2019-Q1,,,11.92,44.2,140.5,28.0,180.0,112.2,,,,
2020-Q1,2020-Q1,,,17.4,55.4,187.6,37.7,282.4,175.3,,,,
2020-Q2,2019-Q2,,,13.74,47.1,153.0,29.5,208.9,127.7,,,,
2020-Q2,2020-Q2,,,30.1,57.0,196.4,44.4,517.9,294.9,,,,
2020-Q3,2019-Q3,,,14.78,50.7,165.6,33.3,225.0,140.6,,,,
2020-Q3,2020-Q3,,,30.9,74.4,245.3,52.2,522.1,310.1,,,,
2020-Q4,2019-FY,61.02,,,,,,,,642.2,128.2,935.9,584.4
2020-Q4,2019-Q4,,,20.65,53.9,183.2,37.4,322.0,203.9,,,,
2020-Q4,2020-FY,119.6,,,,,,,,908.8,193.5,2020.7,1194.4
2020-Q4,2020-Q4,119.6,,41.1,82.6,279.4,59.2,698.3,414.1,,,,
2021-Q1,2020-Q1,,,,55.4,187.6,37.7,282.4,175.3,,,,
2021-Q1,2021-Q1,,,37.3,89.9,320.7,58.4,668.0,371.5,,,,
2021-Q2,2020-Q2,,,,57.0,196.4,44.4,517.9,294.9,,,,
2021-Q2,2021-Q2,,,42.2,95.1,334.2,63.0,785.2,435.6,,,,
2021-Q3,2020-Q3,,,,74.4,245.3,52.2,522.1,310.1,,,,
2021-Q3,2021-Q3,,,41.8,98.8,336.2,67.4,787.5,447.5,,,,
2021-Q4,2020-FY,119.4,,,,,,,,908.8,193.5,2020.7,1194.4
2021-Q4,2020-Q4,,,,82.6,279.4,59.2,698.3,414.1,,,,
2021-Q4,2021-FY,175.4,,,,,,,,1342.3,264.4,3269.5,1866.4
2021-Q4,2021-Q4,175.4,,54.1,102.0,351.2,75.6,1028.8,611.8,,,,
2022-Q1,2021-Q1,,,37.3,89.9,320.7,58.4,668.0,371.5,,,,
2022-Q1,2022-Q1,,,43.2,105.2,344.8,77.5,858.9,488.4,,,,
2022-Q2,2021-Q2,,,42.2,95.1,334.2,63.0,785.2,435.6,,,,
2022-Q2,2022-Q2,,,46.9,107.2,366.4,85.2,928.6,554.2,,,,
2022-Q3,2021-Q3,,,41.8,98.8,336.2,67.4,787.5,447.5,,,,
2022-Q3,2022-Q3,,,46.2,107.0,376.3,82.3,989.9,621.6,,,,
2022-Q4,2021-FY,175.4,,,,,,,,1342.3,264.4,3269.5,1866.4
2022-Q4,2021-Q4,,,54.1,102.3,351.2,75.6,1028.8,611.8,,,,
2022-Q4,2022-FY,197.2,,,,,,,,1487.8,330.9,4112.1,2514.9
2022-Q4,2022-Q4,197.2,,61.0,109.5,400.3,85.8,1334.7,850.7,,,,
2023-Q1,2022-Q1,,,43.2,105.0,344.8,77.5,858.9,488.4,,,,
2023-Q1,2023-Q1,,,49.6,116.0,382.0,84.0,1126.0,707.0,,,,
2023-Q2,2022-Q2,,,46.9,107.2,366.4,85.2,928.6,554.2,,,,
2023-Q2,2023-Q2,,,55.0,139.0,444.0,85.0,1250.0,774.0,,,,
2023-Q3,2022-Q3,,,46.2,107.0,376.3,82.3,989.9,621.6,,,,
2023-Q3,2023-Q3,,,56.2,141.0,486.0,88.0,1228.0,725.0,,,,
2023-Q4,2022-FY,197.2,,,,,,,,1487.8,330.9,4112.1,2514.9
2023-Q4,2022-Q4,,,,,400.3,85.8,1334.7,850.7,,,,
2023-Q4,2023-FY,235.9,,,,,,,,1837.0,354.0,5223.0,3191.0
2023-Q4,2023-Q4,235.9,,75.1,149.0,525.0,97.0,1619.0,985.0,,,,
2024-Q1,2023-Q1,,,,,382.0,84.0,1126.0,707.0,,,,
2024-Q1,2024-Q1,,,60.9,151.0,511.0,95.0,1350.0,809.0,,,,
2024-Q2,2023-Q2,,,55.0,139.0,444.0,85.0,1250.0,774.0,,,,
2024-Q2,2024-Q2,,,67.2,169.0,563.0,97.0,1482.0,903.0,,,,
2024-Q3,2023-Q3,,,56.2,137.0,486.0,88.0,1228.0,725.0,,,,
2024-Q3,2024-Q3,,,69.7,175.0,610.0,108.0,1552.0,936.0,,,,
2024-Q4,2023-FY,,,,,,,,,1837.0,354.0,5223.0,3191.0
2024-Q4,2023-Q4,,,75.1,149.0,525.0,97.0,1619.0,985.0,,,,
2024-Q4,2024-FY,,,,,,,,,2350.0,434.0,6530.0,3974.0
2024-Q4,2024-Q4,,,94.5,178.0,666.0,134.0,2146.0,1326.0,,,,
2025-Q1,2024-Q1,,,60.9,151.0,511.0,95.0,1350.0,809.0,,,,
2025-Q1,2025-Q1,,,74.75,182.0,620.0,123.0,1740.0,1068.0,,,,
2025-Q2,2024-Q2,,,67.2,169.0,563.0,97.0,1482.0,903.0,,,,
2025-Q2,2025-Q2,,,87.84,185.0,687.0,143.0,1912.0,1156.0,,,,
2025-Q3,2024-Q3,,,69.7,175.0,610.0,108.0,1552.0,936.0,,,,
2025-Q3,2025-Q3,,,92.01,193.0,714.0,156.0,2019.0,1226.0,,,,
